id,name,ra_deg,dec_deg,l_deg,b_deg,dist_kpc,dist_src,X_kpc,Y_kpc,Z_kpc,Rgc_kpc,V_mag,M_V,FeH,EBV,BV,vr_kms,conc_c,Rh_arcmin,logTh,muV,pmRA,pmDE,e_pmRA,e_pmDE,plx,Nstar_gaia,Mass_Msun,ML_V,rh_pc,sigma0,Vesc_kms,logTRH,RV_bh,in_harris,in_vb2021,in_bh2018,has_dist
NGC5634,NGC5634,217.41,-5.976,342.21,49.26,27.2,BH2018,-8.6276,5.4236,20.609,22.991,9.47,-7.7,-1.82,0.05,0.67,-45.1,1.6,0.54,8.98,17.49,-1.692,-1.478,0.027,0.026,0.056,339,2.13e+05,2.32,4.69,5.3,21.7,9.56,-16.2,True,True,True,True
ARP2,ARP2,292.18,-30.356,8.55,-20.78,32.36,BH2018,-21.644,-4.4981,-11.481,24.91,12.3,-5.24,-1.76,0.11,0.86,115,0.9,1.91,9.46,24.21,-2.331,-1.475,0.031,0.029,0.026,156,1.09e+05,10.03,16.74,2,6.9,10.32,122.5,True,True,True,True
NGC5824,NGC5824,225.99,-33.068,332.55,22.07,31.8,BH2018,-17.877,13.585,11.949,25.434,9.09,-8.79,-1.85,0.13,0.75,-38.4,2.45,0.36,9.18,15.08,-1.189,-2.234,0.026,0.026,0.057,514,7.79e+05,2.3,3.74,11.9,48.6,9.78,-25.5,True,True,True,True
NGC7492,NGC7492,347.11,-15.611,53.39,-63.48,26.55,BH2018,1.2052,-9.516,-23.756,25.62,11.29,-5.72,-1.51,0,0.42,-207.6,1,1.22,9.11,21.33,0.756,-2.32,0.028,0.028,0.073,190,25800,1.21,7.51,1.4,4.3,9.47,-176.7,True,True,True,True
ERIDANUS,ERIDANUS,66.185,-21.187,218.11,-41.33,20,GaiaEDR3plx,20.092,9.2689,-13.208,25.769,14.7,-4.9,-1.46,0.02,0.79,-23.6,1.1,0.4,,22.81,0.51,-0.301,0.039,0.041,0.05,44,,,,,,,,True,True,False,True
PAL13,PAL13,346.69,12.772,87.1,-42.7,24.8,BH2018,7.3529,-18.203,-16.818,25.851,13.8,-3.46,-1.65,0.05,0.72,-28,0.66,0.46,,23.36,1.748,0.104,0.049,0.047,-0.037,72,27400,10.74,11.08,1.2,4.6,9.85,25.7,True,True,True,True
NGC6229,NGC6229,251.75,47.528,73.64,40.31,30.62,BH2018,1.6981,-22.404,19.809,29.954,9.39,-7.98,-1.44,0.01,0.7,-154.2,1.61,0.37,8.9,16.99,-1.171,-0.467,0.026,0.027,0.041,256,2.91e+05,2.42,3.18,7.1,27.3,9.35,-138.3,True,True,True,True
NGC5694,NGC5694,219.9,-26.539,331.06,30.36,37.33,BH2018,-19.914,15.587,18.868,31.551,10.17,-7.76,-1.86,0.09,0.69,-145.8,1.84,0.33,8.79,16.34,-0.464,-1.105,0.029,0.029,0.034,149,3.83e+05,2.78,3.31,8.9,35.2,9.53,-139.4,True,True,True,True
PAL15,PAL15,254.96,-0.539,18.87,24.3,41.667,GaiaEDR3plx,-27.659,-12.282,17.146,34.783,14,-5.43,-1.9,0.4,,68.9,0.6,1.21,,24.87,-0.592,-0.901,0.037,0.034,0.024,125,,,,,,,,True,True,False,True
PAL2,PAL2,71.525,31.381,170.53,-9.07,27.2,BH2018,34.769,-4.4193,-4.2878,35.31,13.04,-7.95,-1.3,1.24,2.08,-133,1.45,0.67,8.04,19.39,1.045,-1.522,0.034,0.031,0.042,180,3.35e+05,1.66,4.98,6.1,22.9,9.72,-134.9,True,True,True,True
PYXIS,PYXIS,136.99,-37.221,261.32,7,39.4,BH2018,14.177,38.658,4.8017,41.455,12.9,-5.68,-1.2,0.21,,40.4,0.65,1.35,,,1.03,0.138,0.032,0.035,0.016,69,44900,2.95,18.09,1.3,4.1,10.22,40.4,True,True,True,True
NGC7006,NGC7006,315.37,16.187,63.77,-19.41,58.8,BH2018,-16.236,-49.747,-19.541,55.859,10.56,-7.64,-1.68,0.05,0.75,-377.6,1.42,0.38,8.97,18.5,-0.128,-0.633,0.027,0.027,0.035,174,2.29e+05,1.23,6.68,4.4,16.1,9.87,-383.2,True,True,True,True
PAL14,AvdB,242.75,14.958,28.75,42.18,71,BH2018,-37.853,-25.307,47.674,65.925,14.74,-4.68,-1.52,0.04,,76.6,0.72,1.15,9.66,25.55,-0.463,-0.413,0.038,0.038,0.035,80,22700,3.4,23.6,0.8,2.6,10.27,72.2,True,True,True,True
NGC2419,NGC2419,114.53,38.882,180.37,25.24,83.2,BH2018,83.53,0.48598,35.477,90.753,10.39,-9.53,-2.12,0.11,0.66,-20,1.4,0.73,10.28,19.83,0.007,-0.523,0.028,0.026,0.003,333,9.81e+05,2.23,18.29,7.1,22.2,10.74,-20.6,True,True,True,True
PAL3,PAL3,151.38,0.072,240.14,41.86,92.5,BH2018,42.575,59.746,61.726,95.877,14.26,-5.59,-1.66,0.03,,83.4,1,0.66,9.64,23.08,0.086,-0.148,0.06,0.071,-0.001,61,61500,2.85,19.69,1.4,4.7,10.32,89.9,True,True,True,True
PAL4,PAL4,172.32,28.974,202.31,71.8,103,BH2018,38.037,12.212,97.847,105.69,14.2,-5.82,-1.48,0.01,,74.5,0.78,0.54,9.54,23.54,-0.188,-0.476,0.042,0.041,-0.025,96,29800,1.64,17.87,1,3.4,10.15,72.7,True,True,True,True
AM1,E 1,58.76,-49.615,258.36,-48.47,119.1,Harris,24.207,77.341,-89.159,120.49,15.72,-4.66,-1.8,0,0.72,116,1.23,0.5,9.46,23.86,0.291,-0.177,0.107,0.086,-0.015,58,,,,,,,,True,True,False,True
KO2,KO2,119.57,26.255,,,2.5445,GaiaEDR3plx,,,,,,,,,,,,,,,-0.601,-0.025,0.189,0.129,0.393,7,,,,,,,,False,True,False,True
ESO93-8,ESO93-8,169.93,-65.22,,,9.901,GaiaEDR3plx,,,,,,,,,,,,,,,-4.068,1.4,0.033,0.034,0.101,32,,,,,,,,False,True,False,True
BLISS1,BLISS1,177.51,-41.772,,,40,GaiaEDR3plx,,,,,,,,,,,,,,,-2.34,0.138,0.042,0.038,0.025,10,,,,,,,,False,True,False,True
BH140,BH140,193.47,-67.177,,,4.5662,GaiaEDR3plx,,,,,,,,,,,,,,,-14.848,1.224,0.024,0.024,0.219,1197,,,,,,,,False,True,False,True
